,state,opened_on,closed,time_to_close,commits,number,title,url,closed_at
147,closed,2021-06-18 11:09:11,,1724295.0,1,2015,Move TypeDescriptor::stateTable from header to implementation. [11841],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2015,2021-07-08 10:07:26
148,closed,2021-06-16 07:02:15,,1752.0,1,2012,Bump version to 2.3.3,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2012,2021-06-16 07:31:27
149,closed,2021-06-15 12:35:10,,61536.0,6,2011,Fixed persistence guid issue,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2011,2021-06-16 05:40:46
150,closed,2021-06-10 08:05:34,,334783.0,1,2007,Change log severity in DiscoveryServer first announcement [11777],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2007,2021-06-14 05:05:17
151,closed,2021-06-09 08:17:48,,513333.0,1,2006,Allow fully qualified name in TypeDescriptor <2.0.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2006,2021-06-15 06:53:21
152,closed,2021-06-09 08:17:30,,513328.0,1,2005,Allow fully qualified name in TypeDescriptor <2.1.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2005,2021-06-15 06:52:58
153,closed,2021-06-09 08:17:14,,513319.0,1,2004,Allow fully qualified name in TypeDescriptor <2.2.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2004,2021-06-15 06:52:33
154,closed,2021-06-07 10:55:52,,66003.0,4,2000,Add readmes for performance tests [11763],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2000,2021-06-08 05:15:55
155,open,2021-06-04 10:52:49,,,4,1998,Only export public symbols on non-windows platforms [11754],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1998,
156,closed,2021-06-04 07:45:20,,5353946.0,70,1996,New FlowController [11831],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1996,2021-08-05 06:57:46
157,closed,2021-05-31 09:35:59,,7865228.0,2,1992,Add load persistence_guid from UserData [11689],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1992,2021-08-30 10:23:07
158,closed,2021-05-28 07:57:08,,251197.0,15,1991,"WaitSet, Condition and GuardCondition implementation [11608, 11609]",https://api.github.com/repos/eProsima/Fast-DDS/pulls/1991,2021-05-31 05:43:45
159,closed,2021-05-26 14:50:08,,85666.0,13,1989,WaitSet detail classes [11656],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1989,2021-05-27 14:37:54
160,closed,2021-05-24 10:30:11,,686404.0,6,1987,Explicitly enable/disable datasharing on Throughtput test [11646],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1987,2021-06-01 09:10:15
161,closed,2021-05-24 10:28:52,,159329.0,2,1986,Fix warnings and segfaults on Win32 builds <2.2.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1986,2021-05-26 06:44:21
162,closed,2021-05-21 07:34:25,,269221.0,2,1983,Fix statistics header file inclusion [11614],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1983,2021-05-24 10:21:26
163,closed,2021-05-20 09:13:38,,90765.0,4,1982,Fix warnings and segfaults on Win32 builds,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1982,2021-05-21 10:26:23
164,closed,2021-05-20 05:23:05,,90797.0,1,1981,Synchronize TCP reception to wait for RTCP header [11562] <2.0.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1981,2021-05-21 06:36:22
165,closed,2021-05-20 05:22:35,,90801.0,1,1980,Synchronize TCP reception to wait for RTCP header [11562] <2.1.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1980,2021-05-21 06:35:56
166,closed,2021-05-19 13:20:26,,149078.0,1,1979,[11596] Update to ROS 2 Galactic,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1979,2021-05-21 06:45:04
167,closed,2021-05-19 10:30:53,,68558.0,1,1978,Add missing std:: [11591] <2.0.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1978,2021-05-20 05:33:31
168,closed,2021-05-19 10:30:26,,68547.0,1,1977,Add missing std:: [11591] <2.1.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1977,2021-05-20 05:32:53
169,closed,2021-05-19 10:30:03,,68528.0,1,1976,Add missing std:: [11591] <2.2.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1976,2021-05-20 05:32:11
170,closed,2021-05-19 07:51:39,,78507.0,1,1975,Update from fastrtpsgen to fastddsgen,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1975,2021-05-20 05:40:06
171,closed,2021-05-19 00:42:41,,35182.0,2,1974,Add missing std:: [11591],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1974,2021-05-19 10:29:03
172,closed,2021-05-18 14:11:47,,571.0,2,1973,Bump version to 2.3.2,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1973,2021-05-18 14:21:18
173,closed,2021-05-18 14:10:37,,,2,1972,Bump version to 2.3.1,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1972,
174,closed,2021-05-18 10:27:49,,1467237.0,8,1971,[11561] Fixing static linking when SECURITY=OFF but SSL is needed,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1971,2021-06-04 10:01:46
175,closed,2021-05-18 05:29:05,,1326221.0,21,1969,[11278] UDPv6 refactor and tests,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1969,2021-06-02 13:52:46
176,closed,2021-05-17 11:26:02,,63628.0,1,1968,oss-fuzz integration,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1968,2021-05-18 05:06:30
177,closed,2021-05-17 09:47:59,,76490.0,4,1967,Document and assert RTPS entity pointers lifetime [11579],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1967,2021-05-18 07:02:49
178,closed,2021-05-14 20:16:52,,36654.0,1,1966,Set a default ipv6 address for multicast (backport #1959) (backport #1960),https://api.github.com/repos/eProsima/Fast-DDS/pulls/1966,2021-05-15 06:27:46
179,closed,2021-05-14 20:15:23,,36840.0,1,1965,Set a default ipv6 address for multicast (backport #1959) (backport #1960),https://api.github.com/repos/eProsima/Fast-DDS/pulls/1965,2021-05-15 06:29:23
180,closed,2021-05-14 12:15:12,,323866.0,3,1964,[10793] Collection of data and notification to listeners SUBSCRIPTION_THROUGHPUT,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1964,2021-05-18 06:12:58
181,closed,2021-05-14 10:13:16,,500876.0,3,1963,Synchronize TCP reception to wait for RTCP header. [11562] (backport #1957),https://api.github.com/repos/eProsima/Fast-DDS/pulls/1963,2021-05-20 05:21:12
182,closed,2021-05-14 08:17:11,,,1,1962,Set a default ipv6 address for multicast (backport #1959),https://api.github.com/repos/eProsima/Fast-DDS/pulls/1962,
