,closed_at,created_at,labels,id,number,state,title,url,last_mod,comments,turn_round
54,,2021-09-03 05:22:45,[],987409340,925,closed,[bug 924] head->aba_head.s.a should be discounted in ddsrt_atomic_lifo_pop,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/925,,1,2870.0
55,,2021-09-03 04:04:40,[],987374942,924,closed,head->aba_head.s.a should be discounted in ddsrt_atomic_lifo_pop,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/924,,1,7462.0
56,,2021-09-01 15:16:59,[],985281875,923,closed,Keep weak references to annotatable metadata in IDL tree,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/923,,6,679740.0
57,,2021-09-01 06:52:03,[],984763873,922,open,Add IDL compiler option to specify the output directory for the generated code (fixes #801),https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/922,,3,
58,,2021-08-31 11:41:40,[],983764355,921,closed,Backport from master into 0.8.x,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/921,,0,4951.0
59,,2021-08-30 11:04:33,[],982669668,920,closed,Ignore DDS_INLINE_EXPORT in Doxygen build,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/920,,0,1456.0
60,,2021-08-30 09:40:32,[],982600334,919,closed,Additional annotation parsing,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/919,,8,2170528.0
61,,2021-08-27 11:35:32,[],981159121,918,open,Improve bounds checking in security plugins,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/918,,0,
62,,2021-08-26 06:50:23,[],979897353,917,closed,Fix incorrect QoS handling in dds_create_publisher,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/917,,0,21811.0
63,,2021-08-26 06:23:57,[],979880835,916,closed,participant unlocked twice,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/916,,0,23397.0
64,,2021-08-25 15:59:32,[],979366720,915,closed,Error while cross compiling with yocto,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/915,,5,3131597.0
65,,2021-08-24 05:44:20,[],977727158,914,open,Configuration guide needs updating,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/914,,0,
66,,2021-08-24 04:23:15,[],977689033,913,closed,Fix the wrong description about the default value of ParticipantIndex,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/913,,0,4875.0
67,,2021-08-23 09:31:43,[],976828120,912,open,Abnormal jitter in latency test,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/912,,12,
68,,2021-08-18 18:43:23,[],973955526,911,open,"Unicast sending of a message to a known reader (RPC, service)",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/911,,3,
69,,2021-08-18 09:36:28,[],973470993,910,closed,Subtle CDR key calculation fixes,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/910,,0,16292.0
70,,2021-08-17 11:34:49,[],972590615,909,closed,Duplicate increment of input buffer position upon array key readout,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/909,,0,8105.0
71,,2021-08-10 09:24:59,[],964775572,908,open,idlc segfaults,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/908,,1,
72,,2021-08-09 17:31:36,[],964215066,907,closed,cmake: _IMPORT_PREFIX,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/907,,1,53369.0
73,,2021-08-08 15:46:21,[],963459887,906,closed,Make sure to use buffer with truncated name for pthread_setname_np,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/906,,0,53047.0
74,,2021-08-05 15:13:47,[],961930835,905,open,Proxy writer deletion fails with assertion in entity index,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/905,,0,
75,,2021-08-05 13:06:49,[],961807552,904,open,Implementation of the XTypes type system,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/904,,0,
76,,2021-08-05 10:24:31,[],961676811,903,open,XCDR2 support for idlc and cdrstream serializer,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/903,,3,
77,,2021-08-04 11:17:07,[],960277568,902,open,Possibility of testing byteswapped input in non-default serdata implementations,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/902,,0,
78,,2021-08-04 11:13:06,[],960272561,901,closed,OpenDDS compatibility,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/901,,0,1991843.0
79,,2021-08-04 11:10:33,[],960269200,900,closed,"Waitsets, listeners and masks",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/900,,3,1287990.0
80,,2021-08-03 10:55:51,[],958991445,899,closed,Skip all work in tracing addrset calculation if no trace needed,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/899,,0,71657.0
81,,2021-08-02 19:50:16,[],958456538,898,open,Add read/write instrumentation with LTTng,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/898,,1,
82,,2021-07-29 14:55:20,[],955928553,897,open,IDLC C code generation ignores structure inheritance,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/897,,1,
83,,2021-07-28 09:09:17,[],954644157,896,open,Sanitize automatic enablement of Iceorxy,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/896,,0,
84,,2021-07-28 07:48:47,[],954578312,895,closed,"Default message ""using network interface..."" is printed as info",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/895,,2,2515234.0
