,state,opened_on,time_to_close,closed_at,commits,number,title,url,closed
99,closed,2021-06-07 14:04:35,71345.0,2021-06-08 09:53:40,2,828,Fix C.UTF-8 warnings generated by idlc,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/828,
100,closed,2021-06-07 09:14:41,84234.0,2021-06-08 08:38:35,1,826,Switch Coverity Scan build to Clang,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/826,
101,closed,2021-06-03 17:53:50,63642.0,2021-06-04 11:34:32,2,825,Fix submission to Coverity Scan,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/825,
102,closed,2021-06-03 13:52:14,1134.0,2021-06-03 14:11:08,1,824,"Really fix submission to Coverity Scan, hopefully",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/824,
103,closed,2021-06-03 13:11:41,877.0,2021-06-03 13:26:18,1,823,Fix submission to Coverity Scan,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/823,
104,closed,2021-06-02 12:51:55,,,1,820,libidl version number independent of project,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/820,
105,closed,2021-06-01 11:36:47,259192.0,2021-06-04 11:36:39,1,818,"Allow base types, enums and strings as key",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/818,
106,closed,2021-05-31 16:09:59,1281191.0,2021-06-15 12:03:10,1,816,Add pipeline for publishing documentation,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/816,
107,closed,2021-05-26 14:47:04,1013.0,2021-05-26 15:03:57,1,814,Typo fix,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/814,
108,closed,2021-05-25 19:16:47,,,1,812,typo fix,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/812,
109,open,2021-05-25 12:53:29,,,4,810,Bitmask support in idl compiler front-end,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/810,
110,closed,2021-05-25 12:33:38,156127.0,2021-05-27 07:55:45,1,809,Dereference as void* to avoid crash with -O2,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/809,
111,closed,2021-05-19 15:57:39,750617.0,2021-05-28 08:27:56,5,806,Improve handling of external vs internal addresses,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/806,
112,closed,2021-05-18 15:31:12,1815869.0,2021-06-08 15:55:41,144,805,Merge Iceoryx integration into master,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/805,
113,closed,2021-05-17 14:57:19,2512.0,2021-05-17 15:39:11,3,803,Fix broken assert in network partition config,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/803,
114,closed,2021-05-17 09:58:28,182341.0,2021-05-19 12:37:29,5,802,Automated documentation generation in CI,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/802,
115,closed,2021-05-12 14:30:37,429911.0,2021-05-17 13:55:48,1,797,Fixes for idl parser related to enums,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/797,
116,closed,2021-05-11 13:07:58,6102.0,2021-05-11 14:49:40,15,796,Merge master into iceoryx branch,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/796,
117,closed,2021-05-07 18:24:13,219820.0,2021-05-10 07:27:53,2,792,Update allocator API for special case of heap allocation,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/792,
118,closed,2021-05-07 16:46:14,240619.0,2021-05-10 11:36:33,3,791,Support stdin as input for compiler + some fixes,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/791,
119,closed,2021-05-07 02:08:15,19968.0,2021-05-07 07:41:03,1,789,Use PROJECT_SOURCE_DIR instead of CMAKE_SOURCE_DIR.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/789,
120,closed,2021-05-06 13:46:29,11509919.0,2021-09-16 18:58:28,16,788,Avoid serialization in write for volatile writers,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/788,
121,closed,2021-05-06 09:36:56,,,1,787,Allow Iceoryx use for best-effort readers,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/787,
122,closed,2021-05-06 09:36:40,,,1,786,ddsi_ipaddr_is_nearby_address: ignore non-IP ones,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/786,
123,closed,2021-05-04 14:57:28,8057.0,2021-05-04 17:11:45,1,784,Register number of unused labels in union,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/784,
124,closed,2021-04-30 12:15:46,1459.0,2021-04-30 12:40:05,1,782,Fix IDL_PRINTA redirect for Visual Studio,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/782,
125,closed,2021-04-29 10:29:05,,,6,781,"Suppress heartbeat/ack/historical data if Iceoryx, add test for CI",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/781,
126,closed,2021-04-29 09:26:52,14773.0,2021-04-29 13:33:05,2,780,Update README.md,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/780,
127,closed,2021-04-29 07:15:31,21891.0,2021-04-29 13:20:22,1,779,Add missing build_depend on JDK for IDLC in package.xml,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/779,
128,closed,2021-04-28 14:51:46,684354.0,2021-05-06 12:57:40,2,778,Improved shared memory documentation,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/778,
129,closed,2021-04-28 13:42:21,519401.0,2021-05-04 13:59:02,1,777,Delete ddsls,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/777,
130,closed,2021-04-26 11:54:41,188468.0,2021-04-28 16:15:49,1,776,Add package target to create installers for different platforms,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/776,
131,closed,2021-04-26 08:11:04,184755.0,2021-04-28 11:30:19,3,775,Some fixes IDL compiler for parsing annotations,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/775,
132,closed,2021-04-26 07:04:57,24768.0,2021-04-26 13:57:45,2,774,Numeric locator kinds,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/774,
133,closed,2021-04-25 20:36:01,,,2,773,Add API to initialise data allocator to allocate on heap,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/773,
134,closed,2021-04-22 18:03:51,147.0,2021-04-22 18:06:18,2,772,Revert data allocator api change,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/772,
135,closed,2021-04-22 17:57:56,511866.0,2021-04-28 16:09:02,2,771,Add idl_is_keyless for C++ generator,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/771,
136,closed,2021-04-21 22:44:02,35040.0,2021-04-22 08:28:02,2,768,Update data allocator API to also support allocation on the heap,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/768,
137,closed,2021-04-21 11:25:52,75634.0,2021-04-22 08:26:26,35,767,Various fixes + merge master,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/767,
138,closed,2021-04-16 14:34:55,,,1,765,Getting bison to be optional.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/765,
139,closed,2021-04-16 14:34:25,1043185.0,2021-04-28 16:20:50,1,764,Install the pdb files for msvc,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/764,
140,closed,2021-04-16 11:58:33,341191.0,2021-04-20 10:45:04,2,763,Fix defects reported by Coverity Scan,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/763,
141,closed,2021-04-15 18:58:26,,,1,762,edit to reflect the progress from original PoC,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/762,
